first_spike_timestep,spike_frequency,spike_rate,active_neuron_fraction,total_spikes
1.0,15.4,0.0018798828,0.0281982421875,231.0
1.0,14.666667,0.0017903646,0.02685546875,220.0
2.0,11.733334,0.0014322917,0.021484375,176.0
1.0,15.666667,0.0019124349,0.0286865234375,235.0
1.0,15.133333,0.0018473307,0.0277099609375,227.0
2.0,15.0,0.0018310547,0.0274658203125,225.0
2.0,14.733334,0.0017985026,0.0269775390625,221.0
1.0,14.6,0.0017822266,0.0267333984375,219.0
1.0,12.6,0.001538086,0.0230712890625,189.0
1.0,14.533334,0.0017740886,0.026611328125,218.0
2.0,13.0,0.0015869141,0.0238037109375,195.0
1.0,12.733334,0.001554362,0.0233154296875,191.0
2.0,14.533334,0.0017740886,0.026611328125,218.0
2.0,15.333333,0.0018717448,0.028076171875,230.0
1.0,15.066667,0.0018391927,0.027587890625,226.0
2.0,14.4,0.0017578125,0.0263671875,216.0
1.0,15.466666,0.0018880208,0.0283203125,232.0
1.0,15.066667,0.0018391927,0.027587890625,226.0
1.0,14.066667,0.0017171224,0.0257568359375,211.0
1.0,14.2,0.0017333984,0.0260009765625,213.0
1.0,14.0,0.0017089844,0.025634765625,210.0
2.0,14.666667,0.0017903646,0.02685546875,220.0
2.0,13.133333,0.0016031901,0.0240478515625,197.0
1.0,16.066668,0.0019612631,0.0294189453125,241.0
1.0,14.0,0.0017089844,0.025634765625,210.0
1.0,13.8,0.0016845703,0.0252685546875,207.0
1.0,16.133333,0.001969401,0.029541015625,242.0
1.0,14.6,0.0017822266,0.0267333984375,219.0
2.0,15.066667,0.0018391927,0.027587890625,226.0
2.0,11.533334,0.0014078777,0.0211181640625,173.0
1.0,15.333333,0.0018717448,0.028076171875,230.0
1.0,11.466666,0.0013997395,0.02099609375,172.0
1.0,14.4,0.0017578125,0.0263671875,216.0
1.0,15.066667,0.0018391927,0.027587890625,226.0
2.0,15.333333,0.0018717448,0.028076171875,230.0
1.0,15.466666,0.0018880208,0.0283203125,232.0
1.0,11.6,0.0014160157,0.021240234375,174.0
1.0,11.0,0.0013427734,0.0201416015625,165.0
1.0,13.2,0.0016113281,0.024169921875,198.0
1.0,12.733334,0.001554362,0.0233154296875,191.0
1.0,14.333333,0.0017496744,0.0262451171875,215.0
2.0,13.866667,0.0016927083,0.025390625,208.0
2.0,15.466666,0.0018880208,0.0283203125,232.0
2.0,14.866667,0.0018147787,0.0272216796875,223.0
